Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
11.1	0.0011815667	1.1005328597	0.1495765977	19.1458045029	0.0753507672
11.2	0.0012070081	1.1333808845	0.1534527831	19.6419562411	0.0766704643
11.3	0.0012706605	1.1701598579	0.1586073198	20.3017369284	0.0779358598
11.4	0.0013519306	1.2144388849	0.1624001775	20.787222718	0.08176404
11.5	0.0013767676	1.2415269354	0.153929795	19.7030137619	0.0806225058
11.6	0.0014521513	1.2759728668	0.1564208222	20.0218652448	0.0845798603
11.7	0.0014491729	1.305278174	0.1530914971	19.5957116343	0.0842418993
11.8	0.001514985	1.3276170061	0.1554035605	19.8916557491	0.0873645222
11.9	0.0015460197	1.3579362236	0.1554709678	19.9002838745	0.0884372094
12	0.0016388628	1.3848354793	0.1748785618	22.3844559149	0.091610784
12.1	0.0016666239	1.4169346195	0.1746294756	22.3525728744	0.0924840596
12.2	0.0016557926	1.4453542186	0.1602784676	20.5156438471	0.092581595
12.3	0.0017281756	1.4646285105	0.1908045707	24.4229850458	0.0957366409
12.4	0.0018055829	1.4839400428	0.1960191293	25.0904485526	0.0978294961
12.5	0.0018590048	1.5142450142	0.1908948576	24.4345417665	0.1011663582
12.6	0.0018910328	1.5443933498	0.1864898741	23.8707038861	0.1048796871
12.7	0.0019576234	1.5708215297	0.1840992238	23.5647006478	0.1034797109
12.8	0.0019796258	1.595026643	0.1797806996	23.0119295456	0.1045101878
12.9	0.0020721518	1.6152475953	0.1819321854	23.2873197252	0.1094487818
13	0.0020384135	1.6288365453	0.1760492063	22.5342984069	0.1057969275
13.1	0.0021146173	1.6597421203	0.1730377614	22.1488334606	0.1052350519
13.2	0.0021178571	1.6664285714	0.2047098103	26.2028557146	0.1061266358
13.3	0.0021692357	1.6807444524	0.1732630137	22.1776657565	0.1053046703
13.4	0.0022591698	1.7016851918	0.2309205133	29.5578257084	0.1116720525
13.5	0.0024189694	1.7384450018	0.2337227663	29.9165140866	0.1220449382
13.6	0.0024210234	1.7549265496	0.2635418876	33.7333616071	0.1183976278
13.7	0.0025709249	1.7744956772	0.2640494661	33.7983316658	0.1220669259
13.8	0.0026147644	1.8070993188	0.223007417	28.5449493754	0.1255272463
13.9	0.0027082124	1.8170687793	0.2381087952	30.4779257811	0.1287015189
14	0.0027679702	1.847037702	0.2237210452	28.6362937838	0.1318081439
14.1	0.0028796752	1.8618468146	0.2518682793	32.2391397448	0.1352638351
14.2	0.0028991094	1.8814655172	0.224115423	28.6867741426	0.1352695709
