# t/tauB rate Stress_mPa
2.190000000000000000e+02 8.137465034329931235e-03 -2.110912394375361600e-01
2.200000000000000000e+02 7.287889775199419932e-03 -5.233486259296473708e-01
2.210000000000000000e+02 7.787315730377775136e-03 -3.356447928789062507e-01
2.220000000000000000e+02 9.352206254062252200e-03 1.829196644517385728e-01
2.230000000000000000e+02 8.668015024559376502e-03 -3.222595916387170634e-02
2.240000000000000000e+02 8.027646783541524458e-03 -2.495689128922500000e-01
2.250000000000000000e+02 8.852105073767541424e-03 2.728754644116779954e-02
2.260000000000000000e+02 8.614164714362947811e-03 -4.987403704969446683e-02
2.270000000000000000e+02 8.653950167670284438e-03 -3.682475962146893045e-02
2.280000000000000000e+02 8.152664045308611468e-03 -2.058068204589850458e-01
2.290000000000000000e+02 9.108910891089108328e-03 1.082735317043978102e-01
2.300000000000000000e+02 8.625045110068566695e-03 -4.629938555862014860e-02
2.310000000000000000e+02 8.667505844272612586e-03 -3.239231613356220729e-02
2.320000000000000000e+02 8.370756242141189074e-03 -1.310464036921344944e-01
2.330000000000000000e+02 8.465760304193421446e-03 -9.908683887098633514e-02
2.340000000000000000e+02 9.898495428694838519e-03 3.436874253992343031e-01
2.350000000000000000e+02 8.480998953408640240e-03 -9.399392603366255039e-02
2.360000000000000000e+02 7.664481931162923575e-03 -3.806698565044749349e-01
2.370000000000000000e+02 9.082782048989808052e-03 1.001386046944913455e-01
2.380000000000000000e+02 8.703750134317131751e-03 -2.057509610485059107e-02
2.390000000000000000e+02 8.634588513489305228e-03 -4.316770058136921301e-02
2.400000000000000000e+02 7.398670383873043148e-03 -4.806259733241308174e-01
2.410000000000000000e+02 9.530608602534356918e-03 2.364318968617767081e-01
2.420000000000000000e+02 9.189730386898376305e-03 1.332888729583721898e-01
2.430000000000000000e+02 8.616066640449036168e-03 -4.924885162794542109e-02
2.440000000000000000e+02 8.050953590725301590e-03 -2.413589506314156030e-01
2.450000000000000000e+02 9.399907073162013654e-03 1.973269733885684718e-01
2.460000000000000000e+02 8.693474527761877249e-03 -2.392038678238064126e-02
2.470000000000000000e+02 9.642268262957918307e-03 2.694171821181151061e-01
2.480000000000000000e+02 7.748878923766816355e-03 -3.496571063785244848e-01
2.490000000000000000e+02 9.104866640482735946e-03 1.070159264210281402e-01
2.500000000000000000e+02 7.650781166207857968e-03 -3.857365750994311560e-01
2.510000000000000000e+02 8.060489335901276087e-03 -2.380067765419699444e-01
2.520000000000000000e+02 8.674853634156789312e-03 -2.999262755148926832e-02
2.530000000000000000e+02 8.983957219251336584e-03 6.915749683269592496e-02
2.540000000000000000e+02 8.503219838474402117e-03 -8.658385554022945962e-02
2.550000000000000000e+02 8.479407154054438914e-03 -9.452549350012122431e-02
2.560000000000000000e+02 7.866728366496992392e-03 -3.069123137475332497e-01
2.570000000000000000e+02 9.159004579502290008e-03 1.238046032299778276e-01
2.580000000000000000e+02 9.429262738400227134e-03 2.061571099612125590e-01
2.590000000000000000e+02 8.405755805670322989e-03 -1.192304739527091095e-01
2.600000000000000000e+02 8.924460813825831756e-03 5.034088539991350003e-02
2.610000000000000000e+02 9.369343791035241245e-03 1.881042379716128254e-01
2.620000000000000000e+02 7.946925887820626561e-03 -2.781887220809418082e-01
2.630000000000000000e+02 8.695959560253102225e-03 -2.311100590385715275e-02
2.640000000000000000e+02 9.434628975265018508e-03 2.077682929575991599e-01
2.650000000000000000e+02 8.884012317276040668e-03 3.747668610405561346e-02
2.660000000000000000e+02 9.020162716660770630e-03 8.054712434134696231e-02
2.670000000000000000e+02 8.345658144939784723e-03 -1.395500327894423631e-01
2.680000000000000000e+02 7.926442612555484324e-03 -2.854973669255350122e-01
2.690000000000000000e+02 9.224052950288691433e-03 1.438459454680203753e-01
2.700000000000000000e+02 8.342133051742344624e-03 -1.407464373706764638e-01
2.710000000000000000e+02 9.015036799661936204e-03 7.893737986076077018e-02
2.720000000000000000e+02 8.147783943246470970e-03 -2.075024684199998359e-01
2.730000000000000000e+02 8.911655322433513146e-03 4.627455796945615513e-02
2.740000000000000000e+02 9.264458169567658247e-03 1.562237190758654359e-01
2.750000000000000000e+02 8.485571022826886994e-03 -9.246767810315703606e-02
2.760000000000000000e+02 9.534492428491306987e-03 2.375856873899667709e-01
2.770000000000000000e+02 9.018176714155379942e-03 7.992354810937930820e-02
2.780000000000000000e+02 8.712453890743017751e-03 -1.774461945972885188e-02
2.790000000000000000e+02 9.071410991174711988e-03 9.659104028043195844e-02
2.800000000000000000e+02 7.666877681648730410e-03 -3.797848076744310686e-01
2.810000000000000000e+02 8.377440499141224767e-03 -1.287859718151199151e-01
2.820000000000000000e+02 9.016594744412869192e-03 7.942673408700712256e-02
2.830000000000000000e+02 8.273444347063979576e-03 -1.641606025213360742e-01
2.840000000000000000e+02 8.472202772720907951e-03 -9.693258213669347922e-02
2.850000000000000000e+02 6.815560448778441513e-03 -7.131014740783784278e-01
2.860000000000000000e+02 9.113446698557910175e-03 1.096833280173196007e-01
2.870000000000000000e+02 8.046178065418926537e-03 -2.430392202773657695e-01
2.880000000000000000e+02 8.313539192399049815e-03 -1.504698194486172591e-01
2.890000000000000000e+02 8.659822613310984643e-03 -3.490373194087043052e-02
2.900000000000000000e+02 7.444168734491315130e-03 -4.632645091806067983e-01
2.910000000000000000e+02 8.715052638917938563e-03 -1.690005021789110426e-02
2.920000000000000000e+02 8.614075469066052176e-03 -4.990337641640695682e-02
2.930000000000000000e+02 9.026906454760908957e-03 8.266353698537039218e-02
2.940000000000000000e+02 8.752658925271123574e-03 -4.706464878787442602e-03
2.950000000000000000e+02 8.477828559466908317e-03 -9.505274990984539929e-02
2.960000000000000000e+02 8.120730517217343222e-03 -2.169209542525202816e-01
2.970000000000000000e+02 8.487007544006705539e-03 -9.198830846755477741e-02
2.980000000000000000e+02 7.946465913843580448e-03 -2.783526386997794422e-01
2.990000000000000000e+02 8.501925946489919880e-03 -8.701480265587700769e-02
3.000000000000000000e+02 8.534554537885095590e-03 -7.616741175834208788e-02
3.010000000000000000e+02 8.508126128628976798e-03 -8.495034899893860736e-02
3.020000000000000000e+02 9.219636085307727699e-03 1.424895927094704251e-01
3.030000000000000000e+02 8.608122179798680454e-03 -5.186120537496142352e-02
3.040000000000000000e+02 9.757785467128026954e-03 3.031424325920983875e-01
3.050000000000000000e+02 9.132104189006883324e-03 1.154749834118158625e-01
3.060000000000000000e+02 9.066371375181674075e-03 9.501734883281803823e-02
3.070000000000000000e+02 8.442030239075528145e-03 -1.070359518679190880e-01
3.080000000000000000e+02 1.011286370068684680e-02 4.043620151846910593e-01
3.090000000000000000e+02 8.695953436807095024e-03 -2.311300004022128277e-02
3.100000000000000000e+02 8.908763172490294716e-03 4.535535964368362510e-02
3.110000000000000000e+02 9.288353302717447524e-03 1.635183996276362295e-01
3.120000000000000000e+02 9.471464620277231239e-03 2.188033184162755107e-01
3.130000000000000000e+02 7.869395644220480296e-03 -3.059523014704214616e-01
3.140000000000000000e+02 9.126601460256233977e-03 1.137680583864775635e-01
3.150000000000000000e+02 7.996139794581925628e-03 -2.607054103693836056e-01
3.160000000000000000e+02 9.259896729776248211e-03 1.548290692491737230e-01
3.170000000000000000e+02 9.108787910154228160e-03 1.082352976294476687e-01
3.180000000000000000e+02 8.031436351728654319e-03 -2.482323933845403674e-01
3.190000000000000000e+02 9.410633328753949256e-03 2.005566068088541765e-01
3.200000000000000000e+02 9.557862889362580411e-03 2.445185772383504930e-01
3.210000000000000000e+02 9.105903374338532655e-03 1.073383637289179043e-01
3.220000000000000000e+02 9.220712196800274693e-03 1.428201102141083700e-01
3.230000000000000000e+02 9.077780070146482944e-03 9.857862520273245888e-02
3.240000000000000000e+02 8.735727060118310058e-03 -1.019001126037299282e-02
3.250000000000000000e+02 9.298481248062815882e-03 1.666045868823834153e-01
3.260000000000000000e+02 8.117218133039829850e-03 -2.181460701336829788e-01
3.270000000000000000e+02 8.467893997051664096e-03 -9.837318515597835711e-02
3.280000000000000000e+02 9.367279714520998848e-03 1.874803009170391832e-01
3.290000000000000000e+02 9.669455493073651764e-03 2.773907101261871566e-01
3.300000000000000000e+02 7.783301902965883770e-03 -3.371048141356137173e-01
3.310000000000000000e+02 1.294776247552975948e-02 1.104163689728474118e+00
3.320000000000000000e+02 1.030750137892995008e-02 4.583482302092739546e-01
3.330000000000000000e+02 1.047556280134586716e-02 5.041491539527193089e-01
3.340000000000000000e+02 9.400256685975926299e-03 1.974322985235114070e-01
3.350000000000000000e+02 9.726212315253885202e-03 2.939644641130310654e-01
3.360000000000000000e+02 8.069823018044540094e-03 -2.347294735639793573e-01
3.370000000000000000e+02 8.523894290017800315e-03 -7.970684835318654626e-02
3.380000000000000000e+02 9.455215729109775480e-03 2.139408622019404460e-01
3.390000000000000000e+02 9.120098374094821186e-03 1.117494990824802054e-01
3.400000000000000000e+02 9.542702739679173943e-03 2.400232256244770879e-01
3.410000000000000000e+02 8.710263708377628464e-03 -1.845660421912943133e-02
3.420000000000000000e+02 8.634868421052632401e-03 -4.307590066883159458e-02
3.430000000000000000e+02 8.010132475267859459e-03 -2.557541342246166249e-01
3.440000000000000000e+02 8.852279718367625158e-03 2.734341669396513075e-02
3.450000000000000000e+02 8.270676691729322502e-03 -1.651080924989456744e-01
3.460000000000000000e+02 9.423011266643905107e-03 2.042789833748963613e-01
3.470000000000000000e+02 9.028419000718169649e-03 8.313800787640834855e-02
3.480000000000000000e+02 9.929126579244702475e-03 3.524372498313405044e-01
3.490000000000000000e+02 8.538509018585830473e-03 -7.485556131748856423e-02
3.500000000000000000e+02 8.976291626695902595e-03 6.674014578676656928e-02
3.510000000000000000e+02 9.472352357829224440e-03 2.190687321654934960e-01
3.520000000000000000e+02 9.024098444710306269e-03 8.178248082566252908e-02
