Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
109.5333333333	0.9006225562	6.1243760047	1.0555068796	213.212389681	0.6145905138
110.0333333333	0.9002853045	6.1117129316	1.054906227	213.0910578566	0.6137482937
110.5333333333	0.8931342219	6.1253918495	1.0507376559	212.2490064828	0.6074132754
111.0333333333	0.8927784401	6.1266101695	1.050197374	212.1398695467	0.6065700438
111.5333333333	0.8905255715	6.126618705	1.0500962645	212.1194454292	0.6065998606
112.0333333333	0.8761825423	6.104816825	1.0492591333	211.950344927	0.6063528939
112.5333333333	0.8922468415	6.1271344041	1.0506983221	212.241061059	0.6072672281
113.0333333333	0.8918612527	6.1239564887	1.0509441483	212.2907179508	0.6077701515
113.5333333333	0.8946667011	6.1207985848	1.0532051678	212.7474438948	0.6111181777
114.0333333333	0.8948407042	6.1130420111	1.0528377205	212.6732195335	0.6109752581
114.5333333333	0.8905520209	6.1202830189	1.0513418061	212.3710448373	0.6088782053
115.0333333333	0.8914123838	6.1265758951	1.0525940923	212.6240066349	0.6110960487
115.5333333333	0.8883538209	6.1214309708	1.0518624683	212.4762186043	0.6104929432
116.0333333333	0.8889822388	6.1346637599	1.0518126812	212.4661616027	0.6099994409
116.5333333333	0.8844370647	6.1242350574	1.0501402338	212.1283272348	0.6079074456
117.0333333333	0.8697605107	6.1171231726	1.0491026639	211.9187381168	0.6074187653
117.5333333333	0.8857925213	6.1352259365	1.0510166741	212.3053681602	0.6089364342
118.0333333333	0.8737526262	6.1400994689	1.0487740886	211.8523658975	0.6073378174
118.5333333333	0.8720723013	6.115719233	1.0490375952	211.9055942205	0.6065512274
119.0333333333	0.8707355427	6.1290268315	1.0482236476	211.7411768118	0.6071571889
119.5333333333	0.8671831323	6.1150025257	1.048080517	211.7122644269	0.6075102853
120.0333333333	0.867201642	6.128103695	1.048382406	211.7732460159	0.6073767759
